Date,Open,High,Low,Close,Moving Average 50,Moving Average 15
5/19/2015 9:40:00 AM,548,550.25,547.12,550.2,545.46,547.1833
5/19/2015 9:50:00 AM,550.2,551.49,550.04,551,545.56,547.4987
5/19/2015 10:00:00 AM,551.04,552.2,550.74,551.17,545.6602,547.7433
5/19/2015 10:10:00 AM,551.24,551.83,550.35,550.76,545.7618,547.9774
5/19/2015 10:20:00 AM,550.76,551.61,550.59,551.49,545.8762,548.268
5/19/2015 10:30:00 AM,551.49,551.57,549.91,551.02,545.9742,548.5847
5/19/2015 10:40:00 AM,551.02,551.02,550.2,550.91,546.0718,548.8533
5/19/2015 10:50:00 AM,550.91,551.39,550.57,550.97,546.1744,549.152
5/19/2015 11:00:00 AM,550.97,551.21,549.12,549.18,546.236,549.3173
5/19/2015 11:10:00 AM,549.18,549.18,548,548.3,546.2804,549.3787
5/19/2015 11:20:00 AM,548.3,549.29,547.95,549.16,546.3338,549.4713
5/19/2015 11:30:00 AM,549.16,549.26,548.68,549.15,546.4496,549.578
5/19/2015 11:40:00 AM,549.15,549.25,548.17,548.17,546.5402,549.666
